abet abetted 
reply replied 
retake retook retaken
rethink rethought 
retrofit retrofitted 
retry retried 
reunify reunified 
rev revved 
rewrite rewrote rewritten
rib ribbed 
ride rode ridden
rig rigged 
rim rimmed 
ring rang rung
rip ripped 
rise rose risen
rob robbed 
rot rotted 
rub rubbed 
run ran run 
rut rutted 
sag sagged 
sandbag sandbagged 
sap sapped 
satisfy satisfied 
scan scanned 
scar scarred 
scrap scrapped 
scrub scrubbed 
scurry scurried
see saw seen 
seek sought 
sell sold 
send sent 
sew sewn 
shake shook shaken
shave shaven 
shed shed 
shine shone 
ship shipped 
shoot shot 
shop shopped 
show shown 
shred shredded 
shrink shrank shrunk
shrug shrugged 
shun shunned 
shut shut
shy shied 
sidestep sidestepped 
signal signalled 
signify signified 
simplify simplified 
sin sinned 
sing sang sung
sink sank sunk
sip sipped 
sit sat 
skid skidded 
skim skimmed 
skin skinned 
skip skipped 
slam slammed 
slap slapped 
slay slew slain
sleep slept 
slide slid
sling slung 
slip slipped 
slog slogged 
slot slotted 
slug slugged 
slur slurred 
smell smelt 
snag snagged 
snap snapped 
sneak snuck 
snub snubbed 
sob sobbed 
solidify solidified 
sow sowed sown 
span spanned 
spar sparred 
speak spoke spoken
specify specified 
speed sped 
spend spent 
spill spilt 
spin spun 
spit spat spitted
spot spotted 
spring sprang sprung
spur spurred 
spy spied 
stab stabbed 
stand stood 
star starred 
stave stove 
steady steadied 
steal stole stolen
stem stemmed 
step stepped 
stick stuck 
sting stung 
stink stank stunk
stir stirred 
strap strapped 
stratify stratified 
strew strewn 
strike struck 
string strung 
strip stripped 
strive strove striven
stub stubbed 
stud studded 
study studied 
stun stunned 
sub subbed 
submit submitted 
sully sullied 
sum summed 
supply supplied 
swap swapped
swat swatted 
swear swore sworn
sweep swept 
swell swollen 
swim swam swum
swing swung 
tag tagged
take took taken 
tally tallied 
tan tanned 
tap tapped 
tar tarred 
teach taught 
tear tore torn
tell told
terrify terrified 
testify testified 
thin thinned
think thought 
throw threw thrown
tip tipped 
top topped 
total totalled 
transfer transferred 
transmit transmitted 
trap trapped 
travel travelled 
tread tread
trek trekked 
trim trimmed 
trip tripped 
trot trotted 
tug tugged 
twig twigged 
typify typified 
undergo underwent undergone
underpay underpaid 
underpin underpinned 
undersell undersold 
understand understood 
undertake undertook undertaken
underwrite underwrote underwritten
undo undid undone
unify unified 
unplug unplugged 
unwind unwound 
unwrap unwrapped 
unzip unzipped 
up upped 
uphold upheld 
vary varied 
vat vatted 
verify verified 
vet vetted 
vilify vilified 
wad wadded 
wag wagged 
wake woke woken
waylay waylaid 
wear wore worn
weary wearied
weave wove woven 
web webbed 
wed wedded 
weed weed 
weep wept 
whet whetted 
whip whipped 
whiz whizzed
win won 
wind wound 
withdraw withdrew withdrawn
withhold withheld 
withstand withstood 
worry worried 
worship worshipped 
wrap wrapped 
wring wrung 
write wrote written
zap zapped 
zigzag zigzagged 
zip zipped 
$END
