---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''GENERAL''), HasIPA(1), Usage(219 )
Form(''PARTS''), HasIPA(1), Usage(274 )
Form(''LITTLE''), HasIPA(1), Usage(1441 )
Form(''OTHERS''), HasIPA(1), Usage(312 )
Form(''MORE''), HasIPA(1), Usage(1526 )
Form(''BUT''), HasIPA(1), Usage(4562 )
Form(''THEY''), HasIPA(1), Usage(3903 )
Form(''MUST''), HasIPA(1), Usage(905 )
Form(''EACH''), HasIPA(1), Usage(538 )
Form(''ITS''), HasIPA(1), Usage(1539 )
Form(''THESE''), HasIPA(1), Usage(1403 )
Form(''ABOVE''), HasIPA(1), Usage(347 )
Form(''COULD''), HasIPA(1), Usage(1440 )
Form(''NOT''), HasIPA(1), Usage(4689 )
Form(''HAD''), HasIPA(1), Usage(5031 )
Form(''HER''), HasIPA(1), Usage(4263 )
Form(''WHO''), HasIPA(1), Usage(1717 )
Form(''ONE''), HasIPA(1), Usage(3393 )
Form(''MYSELF''), HasIPA(1), Usage(263 )
Form(''TWO''), HasIPA(1), Usage(1243 )
Form(''MINE''), HasIPA(1), Usage(128 )
Form(''WHITE''), HasIPA(1), Usage(630 )
Form(''SEVERAL''), HasIPA(1), Usage(415 )
Form(''ABLE''), HasIPA(1), Usage(128 )
Form(''MANY''), HasIPA(1), Usage(862 )
Form(''GIVEN''), HasIPA(1), Usage(218 )
Form(''IS''), HasIPA(1), Usage(7209 )
Form(''HAS''), HasIPA(1), Usage(1260 )
Form(''ME''), HasIPA(1), Usage(2324 )
Form(''AT''), HasIPA(1), Usage(4677 )
Form(''OTHER''), HasIPA(1), Usage(1215 )
Form(''THANKS''), HasIPA(1), Usage(20 )
Form(''WHEN''), HasIPA(1), Usage(2536 )
Form(''TOOK''), HasIPA(1), Usage(436 )
Form(''EVERY''), HasIPA(1), Usage(744 )
Form(''DOWN''), HasIPA(1), Usage(996 )
Form(''TAKE''), HasIPA(1), Usage(548 )
Form(''VERY''), HasIPA(1), Usage(1363 )
Form(''AFTER''), HasIPA(1), Usage(869 )
Form(''BACK''), HasIPA(1), Usage(897 )
Form(''TEN''), HasIPA(1), Usage(202 )
Form(''UNDER''), HasIPA(1), Usage(546 )
Form(''NEXT''), HasIPA(1), Usage(296 )
Form(''SAW''), HasIPA(1), Usage(583 )
Form(''BEHIND''), HasIPA(1), Usage(330 )
Form(''LOWER''), HasIPA(1), Usage(158 )
Form(''DAYS''), HasIPA(1), Usage(493 )
Form(''NEVER''), HasIPA(1), Usage(869 )
Form(''PLACES''), HasIPA(1), Usage(132 )
Form(''IF''), HasIPA(1), Usage(2121 )
Form(''JUST''), HasIPA(1), Usage(558 )
Form(''TIME''), HasIPA(1), Usage(1229 )
Form(''CAN''), HasIPA(1), Usage(1155 )
Form(''ANYTHING''), HasIPA(1), Usage(295 )
Form(''WOULD''), HasIPA(1), Usage(2275 )
Form(''ONLY''), HasIPA(1), Usage(1296 )
Form(''MIGHT''), HasIPA(1), Usage(589 )
Form(''SINGLE''), HasIPA(1), Usage(149 )
Form(''OVER''), HasIPA(1), Usage(1093 )
Form(''YET''), HasIPA(1), Usage(594 )
Form(''FEW''), HasIPA(1), Usage(654 )
Form(''SHORT''), HasIPA(1), Usage(225 )
Form(''YEAR''), HasIPA(1), Usage(264 )
Form(''AFTERWARDS''), HasIPA(1), Usage(108 )
Form(''LIGHT''), HasIPA(1), Usage(328 )
Form(''OUT''), HasIPA(1), Usage(1708 )
Form(''SOON''), HasIPA(1), Usage(303 )
Form(''UPON''), HasIPA(1), Usage(1089 )
Form(''SUCH''), HasIPA(1), Usage(850 )
Form(''NOW''), HasIPA(1), Usage(1320 )
Form(''ALMOST''), HasIPA(1), Usage(445 )
Form(''SO''), HasIPA(1), Usage(2663 )
Form(''PLACE''), HasIPA(1), Usage(529 )
Form(''THERE''), HasIPA(1), Usage(2485 )
Form(''ALSO''), HasIPA(1), Usage(465 )
Form(''DAY''), HasIPA(1), Usage(991 )
Form(''UNTIL''), HasIPA(1), Usage(355 )
Form(''SMALL''), HasIPA(1), Usage(523 )
Form(''HOUR''), HasIPA(1), Usage(220 )
Form(''LARGE''), HasIPA(1), Usage(409 )
Form(''BEFORE''), HasIPA(1), Usage(1065 )
Form(''BLACK''), HasIPA(1), Usage(363 )
Form(''OR''), HasIPA(1), Usage(2894 )
Form(''SIDE''), HasIPA(1), Usage(541 )
Form(''MIDDLE''), HasIPA(1), Usage(117 )
Form(''ANOTHER''), HasIPA(1), Usage(570 )
Form(''ABOUT''), HasIPA(1), Usage(1224 )
Form(''NUMBER''), HasIPA(1), Usage(221 )
Form(''MEN''), HasIPA(1), Usage(984 )
Form(''WOMEN''), HasIPA(1), Usage(221 )
Form(''EXTREMELY''), HasIPA(1), Usage(68 )
Form(''EVERYTHING''), HasIPA(1), Usage(129 )
Form(''SAID''), HasIPA(1), Usage(2325 )
Form(''DID''), HasIPA(1), Usage(1126 )
Form(''THEIR''), HasIPA(1), Usage(2408 )
Form(''DOES''), HasIPA(1), Usage(397 )
Form(''HEAD''), HasIPA(1), Usage(671 )
Form(''MUCH''), HasIPA(1), Usage(860 )
Form(''HE''), HasIPA(1), Usage(8950 )
Form(''THOUGHT''), HasIPA(1), Usage(810 )
Form(''MADE''), HasIPA(1), Usage(846 )
Form(''NO''), HasIPA(1), Usage(1871 )
Form(''THEN''), HasIPA(1), Usage(1533 )
Form(''NEAR''), HasIPA(1), Usage(412 )
Form(''THEM''), HasIPA(1), Usage(2241 )
Form(''EVEN''), HasIPA(1), Usage(798 )
Form(''FIND''), HasIPA(1), Usage(419 )
Form(''TILL''), HasIPA(1), Usage(250 )
Form(''WELL''), HasIPA(1), Usage(951 )
Form(''DO''), HasIPA(1), Usage(1377 )
Form(''HALF''), HasIPA(1), Usage(524 )
Form(''PROBABLY''), HasIPA(1), Usage(169 )
Form(''LIKE''), HasIPA(1), Usage(1399 )
Form(''BEING''), HasIPA(1), Usage(701 )
Form(''HOWEVER''), HasIPA(1), Usage(323 )
Form(''QUITE''), HasIPA(1), Usage(374 )
Form(''GAVE''), HasIPA(1), Usage(270 )
Form(''BETWEEN''), HasIPA(1), Usage(442 )
Form(''POINT''), HasIPA(1), Usage(280 )
Form(''NEARLY''), HasIPA(1), Usage(245 )
Form(''CASE''), HasIPA(1), Usage(314 )
Form(''THUS''), HasIPA(1), Usage(392 )
Form(''FOUND''), HasIPA(1), Usage(651 )
Form(''FOUR''), HasIPA(1), Usage(287 )
Form(''HUNDRED''), HasIPA(1), Usage(298 )
Form(''FINDS''), HasIPA(1), Usage(27 )
Form(''THAN''), HasIPA(1), Usage(1274 )
Form(''FAR''), HasIPA(1), Usage(567 )
Form(''ALWAYS''), HasIPA(1), Usage(456 )
Form(''KNOWN''), HasIPA(1), Usage(268 )
Form(''INTO''), HasIPA(1), Usage(1717 )
Form(''ALTHOUGH''), HasIPA(1), Usage(230 )
Form(''KNOWS''), HasIPA(1), Usage(135 )
Form(''NONE''), HasIPA(1), Usage(182 )
Form(''OFTEN''), HasIPA(1), Usage(291 )
Form(''THREE''), HasIPA(1), Usage(615 )
Form(''SEEN''), HasIPA(1), Usage(505 )
Form(''ALONG''), HasIPA(1), Usage(346 )
Form(''FEET''), HasIPA(1), Usage(666 )
Form(''WHERE''), HasIPA(1), Usage(1180 )
Form(''WITHIN''), HasIPA(1), Usage(371 )
Form(''TIMES''), HasIPA(1), Usage(276 )
Form(''BELIEVE''), HasIPA(1), Usage(270 )
Form(''ANY''), HasIPA(1), Usage(1135 )
Form(''AMONG''), HasIPA(1), Usage(352 )
Form(''AROUND''), HasIPA(1), Usage(202 )
Form(''MAN''), HasIPA(1), Usage(1812 )
Form(''SAME''), HasIPA(1), Usage(656 )
Form(''AGAIN''), HasIPA(1), Usage(844 )
Form(''AWAY''), HasIPA(1), Usage(767 )
Form(''WHILE''), HasIPA(1), Usage(594 )
Form(''WHAT''), HasIPA(1), Usage(1826 )
Form(''THOUGH''), HasIPA(1), Usage(506 )
Form(''GOOD''), HasIPA(1), Usage(750 )
Form(''CLOSE''), HasIPA(1), Usage(276 )
Form(''EITHER''), HasIPA(1), Usage(219 )
Form(''WHETHER''), HasIPA(1), Usage(201 )
Form(''MENTION''), HasIPA(1), Usage(56 )
Form(''HOW''), HasIPA(1), Usage(876 )
Form(''TAKING''), HasIPA(1), Usage(122 )
Form(''SHOULD''), HasIPA(1), Usage(688 )
Form(''HEARD''), HasIPA(1), Usage(452 )
Form(''WAY''), HasIPA(1), Usage(770 )
Form(''WITHOUT''), HasIPA(1), Usage(535 )
Form(''ITSELF''), HasIPA(1), Usage(248 )
Form(''HIMSELF''), HasIPA(1), Usage(550 )
Form(''TRIED''), HasIPA(1), Usage(210 )
Form(''BECAUSE''), HasIPA(1), Usage(369 )
Form(''SECOND''), HasIPA(1), Usage(177 )
Form(''GIVES''), HasIPA(1), Usage(53 )
Form(''INSTEAD''), HasIPA(1), Usage(146 )
Form(''GIVE''), HasIPA(1), Usage(362 )
Form(''TAKEN''), HasIPA(1), Usage(239 )
Form(''AM''), HasIPA(1), Usage(738 )
Form(''NAME''), HasIPA(1), Usage(247 )
Form(''NUMBERS''), HasIPA(1), Usage(107 )
Form(''RATHER''), HasIPA(1), Usage(259 )
Form(''BESIDE''), HasIPA(1), Usage(186 )
Form(''STILL''), HasIPA(1), Usage(567 )
Form(''KNOW''), HasIPA(1), Usage(907 )
Form(''CHANGE''), HasIPA(1), Usage(169 )
Form(''SEE''), HasIPA(1), Usage(1097 )
Form(''INSIDE''), HasIPA(1), Usage(90 )
Form(''OLD''), HasIPA(1), Usage(972 )
Form(''WOMAN''), HasIPA(1), Usage(532 )
Form(''HERSELF''), HasIPA(1), Usage(155 )
Form(''LAST''), HasIPA(1), Usage(586 )
Form(''NIGHT''), HasIPA(1), Usage(760 )
Form(''OTHERWISE''), HasIPA(1), Usage(58 )
Form(''YOU''), HasIPA(1), Usage(4205 )
Form(''TOLD''), HasIPA(1), Usage(413 )
Form(''TOO''), HasIPA(1), Usage(589 )
Form(''WANT''), HasIPA(1), Usage(356 )
Form(''KNEW''), HasIPA(1), Usage(447 )
Form(''PUT''), HasIPA(1), Usage(400 )
Form(''NOTHING''), HasIPA(1), Usage(420 )
Form(''THEMSELVES''), HasIPA(1), Usage(236 )
Form(''DOING''), HasIPA(1), Usage(119 )
Form(''ACROSS''), HasIPA(1), Usage(296 )
Form(''AGAINST''), HasIPA(1), Usage(366 )
Form(''TAKES''), HasIPA(1), Usage(72 )
Form(''FINDING''), HasIPA(1), Usage(55 )
Form(''THINKS''), HasIPA(1), Usage(46 )
Form(''SAYS''), HasIPA(1), Usage(178 )
Form(''GOT''), HasIPA(1), Usage(366 )
Form(''HEAR''), HasIPA(1), Usage(230 )
Form(''YOUR''), HasIPA(1), Usage(828 )
Form(''KNOWING''), HasIPA(1), Usage(83 )
Form(''GET''), HasIPA(1), Usage(549 )
Form(''THINKING''), HasIPA(1), Usage(166 )
Form(''HEARS''), HasIPA(1), Usage(9 )
Form(''TELL''), HasIPA(1), Usage(420 )
Form(''WHOSE''), HasIPA(1), Usage(199 )
Form(''THEIRS''), HasIPA(1), Usage(7 )
Form(''SHE''), HasIPA(1), Usage(4465 )
Form(''OUTSIDE''), HasIPA(1), Usage(98 )
Form(''PLUS''), HasIPA(1), Usage(5 )
Form(''PUTTING''), HasIPA(1), Usage(37 )
Form(''THING''), HasIPA(1), Usage(427 )
Form(''LET''), HasIPA(1), Usage(414 )
Form(''WANTED''), HasIPA(1), Usage(238 )
Form(''DON'T''), HasIPA(1), Usage(399 )
Form(''BELIEVES''), HasIPA(1), Usage(18 )
Form(''WHOM''), HasIPA(1), Usage(202 )
Form(''GETTING''), HasIPA(1), Usage(66 )
Form(''TRIES''), HasIPA(1), Usage(11 )
Form(''AMONGST''), HasIPA(1), Usage(31 )
Form(''CLOSED''), HasIPA(1), Usage(112 )
Form(''TELLS''), HasIPA(1), Usage(26 )
Form(''TELLING''), HasIPA(1), Usage(50 )
Form(''TRY''), HasIPA(1), Usage(117 )
Form(''BIT''), HasIPA(1), Usage(38 )
Form(''YESTERDAY''), HasIPA(1), Usage(42 )
Form(''PUTS''), HasIPA(1), Usage(14 )
Form(''LETTING''), HasIPA(1), Usage(17 )
Form(''WANTS''), HasIPA(1), Usage(58 )
Form(''OURS''), HasIPA(1), Usage(25 )
Form(''SEES''), HasIPA(1), Usage(17 )
Form(''GETS''), HasIPA(1), Usage(36 )
Form(''THANK''), HasIPA(1), Usage(53 )
Form(''YES''), HasIPA(1), Usage(217 )
Form(''LOT''), HasIPA(1), Usage(56 )
Form(''COLOR''), HasIPA(1), Usage(41 )
Form(''YOURSELF''), HasIPA(1), Usage(68 )
Form(''TODAY''), HasIPA(1), Usage(36 )
Form(''DESPITE''), HasIPA(1), Usage(5 )
Form(''YOURS''), HasIPA(1), Usage(49 )
Form(''LETS''), HasIPA(1), Usage(6 )
Form(''THAT'S''), HasIPA(1), Usage(125 )
Form(''DIDN'T''), HasIPA(1), Usage(156 )
Form(''DOESN'T''), HasIPA(1), Usage(45 )
Form(''HE'LL''), HasIPA(1), Usage(29 )
Form(''HASN'T''), HasIPA(1), Usage(22 )
Form(''IT'S''), HasIPA(1), Usage(216 )
Form(''THERE'S''), HasIPA(1), Usage(45 )
Form(''YOU'VE''), HasIPA(1), Usage(42 )
Form(''YOU'RE''), HasIPA(1), Usage(34 )
Form(''CAN'T''), HasIPA(1), Usage(196 )
Form(''WOULDN'T''), HasIPA(1), Usage(90 )
Form(''IT'LL''), HasIPA(1), Usage(3 )
Form(''GOTTEN''), HasIPA(1), Usage(6 )
Form(''THEY'RE''), HasIPA(1), Usage(7 )
Form(''WE'LL''), HasIPA(1), Usage(18 )
Form(''COULDN'T''), HasIPA(1), Usage(76 )
Form(''SHE'LL''), HasIPA(1), Usage(27 )
Form(''HE'S''), HasIPA(1), Usage(74 )
Form(''TOMORROW''), HasIPA(1), Usage(17 )
Form(''HADN'T''), HasIPA(1), Usage(25 )
Form(''WE'RE''), HasIPA(1), Usage(4 )
Form(''WE'VE''), HasIPA(1), Usage(9 )
Form(''HAVEN'T''), HasIPA(1), Usage(35 )
Form(''HERS''), HasIPA(1), Usage(40 )
Form(''SHE'S''), HasIPA(1), Usage(65 )
Form(''BEHALF''), HasIPA(1), Usage(4 )
Form(''SHOULDN'T''), HasIPA(1), Usage(4 )
--------NON-CORE WORDS RANKED BY COUNT---------- 
------------------ 
------------------ 
------------------ 
Form(''''), HasIPA(0), Usage(11457 )
------------------ 
------------------ 
Form(''BE''), HasIPA(1), Usage(3922 )
Form(''ARE''), HasIPA(1), Usage(3271 )
------------------ 
Form(''SOME''), HasIPA(1), Usage(1780 )
Form(''GREAT''), HasIPA(1), Usage(1159 )
Form(''ELNORA''), HasIPA(1), Usage(1263 )
------------------ 
Form(''WORK''), HasIPA(1), Usage(513 )
Form(''WORLD''), HasIPA(1), Usage(608 )
Form(''COUNTRY''), HasIPA(1), Usage(593 )
Form(''LAND''), HasIPA(1), Usage(504 )
Form(''WATER''), HasIPA(1), Usage(793 )
Form(''THINGS''), HasIPA(1), Usage(591 )
Form(''US''), HasIPA(1), Usage(659 )
Form(''GO''), HasIPA(1), Usage(976 )
Form(''HAND''), HasIPA(1), Usage(589 )
Form(''EYES''), HasIPA(1), Usage(697 )
Form(''FACE''), HasIPA(1), Usage(578 )
Form(''ONCE''), HasIPA(1), Usage(505 )
Form(''COME''), HasIPA(1), Usage(981 )
Form(''SAY''), HasIPA(1), Usage(568 )
Form(''HOUSE''), HasIPA(1), Usage(664 )
Form(''WENT''), HasIPA(1), Usage(726 )
Form(''MAKE''), HasIPA(1), Usage(567 )
Form(''LIFE''), HasIPA(1), Usage(848 )
Form(''CAME''), HasIPA(1), Usage(953 )
Form(''NEW''), HasIPA(1), Usage(581 )
Form(''BOY''), HasIPA(1), Usage(652 )
Form(''MOTHER''), HasIPA(1), Usage(537 )
Form(''GIRL''), HasIPA(1), Usage(650 )
Form(''KIM''), HasIPA(1), Usage(875 )
Form(''COMSTOCK''), HasIPA(1), Usage(561 )
------------------ 
Form(''FEEL''), HasIPA(1), Usage(202 )
Form(''YEARS''), HasIPA(1), Usage(492 )
Form(''FORM''), HasIPA(1), Usage(210 )
Form(''MR''), HasIPA(1), Usage(400 )
Form(''BIRDS''), HasIPA(1), Usage(241 )
Form(''SPECIES''), HasIPA(1), Usage(342 )
Form(''HIGH''), HasIPA(1), Usage(362 )
Form(''RIGHT''), HasIPA(1), Usage(336 )
Form('''''), HasIPA(0), Usage(464 )
Form(''ISLANDS''), HasIPA(1), Usage(287 )
Form(''SOUTH''), HasIPA(1), Usage(302 )
Form(''AMERICA''), HasIPA(1), Usage(246 )
Form(''COURSE''), HasIPA(1), Usage(332 )
Form(''RETURN''), HasIPA(1), Usage(217 )
Form(''SENT''), HasIPA(1), Usage(205 )
Form(''HOME''), HasIPA(1), Usage(358 )
Form(''SINCE''), HasIPA(1), Usage(279 )
Form(''KIND''), HasIPA(1), Usage(318 )
Form(''SEA''), HasIPA(1), Usage(459 )
Form(''TH''), HasIPA(1), Usage(265 )
Form(''ROUND''), HasIPA(1), Usage(270 )
Form(''REACHED''), HasIPA(1), Usage(220 )
Form(''MORNING''), HasIPA(1), Usage(416 )
Form(''ISLAND''), HasIPA(1), Usage(305 )
Form(''HILLS''), HasIPA(1), Usage(218 )
Form(''WALKED''), HasIPA(1), Usage(206 )
Form(''TREES''), HasIPA(1), Usage(476 )
Form(''ENGLISH''), HasIPA(1), Usage(249 )
Form(''GREEN''), HasIPA(1), Usage(233 )
Form(''ANIMALS''), HasIPA(1), Usage(261 )
Form(''LIVE''), HasIPA(1), Usage(269 )
Form(''BIRD''), HasIPA(1), Usage(266 )
Form(''BEAUTIFUL''), HasIPA(1), Usage(215 )
Form(''VILLAGE''), HasIPA(1), Usage(309 )
Form(''MILES''), HasIPA(1), Usage(351 )
Form(''SIGHT''), HasIPA(1), Usage(203 )
Form(''TOWN''), HasIPA(1), Usage(371 )
Form(''WAR''), HasIPA(1), Usage(248 )
Form(''LOOKING''), HasIPA(1), Usage(210 )
Form(''PLAIN''), HasIPA(1), Usage(224 )
Form(''WIND''), HasIPA(1), Usage(208 )
Form(''BIG''), HasIPA(1), Usage(247 )
Form(''FULL''), HasIPA(1), Usage(261 )
Form(''PEOPLE''), HasIPA(1), Usage(475 )
Form(''TWENTY''), HasIPA(1), Usage(209 )
Form(''YOUNG''), HasIPA(1), Usage(479 )
Form(''SNOW''), HasIPA(1), Usage(236 )
Form(''SET''), HasIPA(1), Usage(295 )
Form(''OFF''), HasIPA(1), Usage(491 )
Form(''TURNED''), HasIPA(1), Usage(398 )
Form(''WILD''), HasIPA(1), Usage(249 )
Form(''HANDS''), HasIPA(1), Usage(371 )
Form(''LEFT''), HasIPA(1), Usage(408 )
Form(''VIEW''), HasIPA(1), Usage(206 )
Form(''DARK''), HasIPA(1), Usage(269 )
Form(''AIR''), HasIPA(1), Usage(271 )
Form(''FACT''), HasIPA(1), Usage(273 )
Form(''STATE''), HasIPA(1), Usage(221 )
Form(''FINE''), HasIPA(1), Usage(208 )
Form(''LESS''), HasIPA(1), Usage(274 )
Form(''SURE''), HasIPA(1), Usage(238 )
Form(''RUN''), HasIPA(1), Usage(242 )
Form(''SHORE''), HasIPA(1), Usage(239 )
Form(''COAST''), HasIPA(1), Usage(309 )
Form(''NORTH''), HasIPA(1), Usage(234 )
Form(''MATTER''), HasIPA(1), Usage(236 )
Form(''COVERED''), HasIPA(1), Usage(234 )
Form(''BED''), HasIPA(1), Usage(248 )
Form(''SURFACE''), HasIPA(1), Usage(237 )
Form(''RED''), HasIPA(1), Usage(280 )
Form(''COMMON''), HasIPA(1), Usage(315 )
Form(''SOMETIMES''), HasIPA(1), Usage(316 )
Form(''BODY''), HasIPA(1), Usage(371 )
Form(''ARMS''), HasIPA(1), Usage(242 )
Form(''NATURE''), HasIPA(1), Usage(295 )
Form(''GROUND''), HasIPA(1), Usage(408 )
Form(''DEEP''), HasIPA(1), Usage(262 )
Form(''BECAME''), HasIPA(1), Usage(222 )
Form(''CALLED''), HasIPA(1), Usage(397 )
Form(''SEEMED''), HasIPA(1), Usage(260 )
Form(''CANNOT''), HasIPA(1), Usage(234 )
Form(''DISTANCE''), HasIPA(1), Usage(291 )
Form(''HARD''), HasIPA(1), Usage(225 )
Form(''ANIMAL''), HasIPA(1), Usage(214 )
Form(''CERTAIN''), HasIPA(1), Usage(213 )
Form(''DEAD''), HasIPA(1), Usage(256 )
Form(''BROUGHT''), HasIPA(1), Usage(262 )
Form(''BENEATH''), HasIPA(1), Usage(210 )
Form(''WHOLE''), HasIPA(1), Usage(435 )
Form(''PASSED''), HasIPA(1), Usage(294 )
Form(''EXPERIENCE''), HasIPA(1), Usage(381 )
Form(''TREE''), HasIPA(1), Usage(383 )
Form(''WOODS''), HasIPA(1), Usage(293 )
Form(''PRESENT''), HasIPA(1), Usage(210 )
Form(''LEAST''), HasIPA(1), Usage(252 )
Form(''CITY''), HasIPA(1), Usage(220 )
Form(''ALONE''), HasIPA(1), Usage(298 )
Form(''PERHAPS''), HasIPA(1), Usage(308 )
Form(''OPEN''), HasIPA(1), Usage(274 )
Form(''LINE''), HasIPA(1), Usage(266 )
Form(''MAKING''), HasIPA(1), Usage(207 )
Form(''BECOME''), HasIPA(1), Usage(206 )
Form(''END''), HasIPA(1), Usage(305 )
Form(''RIVER''), HasIPA(1), Usage(341 )
Form(''FOOD''), HasIPA(1), Usage(248 )
Form(''KEEP''), HasIPA(1), Usage(235 )
Form(''NOR''), HasIPA(1), Usage(320 )
Form(''UNDERSTAND''), HasIPA(1), Usage(217 )
Form(''GOING''), HasIPA(1), Usage(397 )
Form(''EVENING''), HasIPA(1), Usage(340 )
Form(''LOVE''), HasIPA(1), Usage(315 )
Form(''POOR''), HasIPA(1), Usage(226 )
Form(''ROAD''), HasIPA(1), Usage(455 )
Form(''HORSES''), HasIPA(1), Usage(257 )
Form(''LOW''), HasIPA(1), Usage(255 )
Form(''SOMETHING''), HasIPA(1), Usage(389 )
Form(''OH''), HasIPA(1), Usage(250 )
Form(''TRUE''), HasIPA(1), Usage(283 )
Form(''ASKED''), HasIPA(1), Usage(396 )
Form(''LOST''), HasIPA(1), Usage(205 )
Form(''WHY''), HasIPA(1), Usage(381 )
Form(''HORSE''), HasIPA(1), Usage(272 )
Form(''ROOM''), HasIPA(1), Usage(460 )
Form(''DRY''), HasIPA(1), Usage(205 )
Form(''STOOD''), HasIPA(1), Usage(353 )
Form(''FELT''), HasIPA(1), Usage(257 )
Form(''LIVED''), HasIPA(1), Usage(247 )
Form(''LOOK''), HasIPA(1), Usage(415 )
Form(''MIND''), HasIPA(1), Usage(479 )
Form(''RAN''), HasIPA(1), Usage(229 )
Form(''FIRE''), HasIPA(1), Usage(221 )
Form(''SON''), HasIPA(1), Usage(223 )
Form(''WINTER''), HasIPA(1), Usage(200 )
Form(''SAT''), HasIPA(1), Usage(290 )
Form(''MOMENT''), HasIPA(1), Usage(227 )
Form(''EARTH''), HasIPA(1), Usage(232 )
Form(''BETTER''), HasIPA(1), Usage(326 )
Form(''DOOR''), HasIPA(1), Usage(385 )
Form(''CRIED''), HasIPA(1), Usage(383 )
Form(''BEST''), HasIPA(1), Usage(202 )
Form(''SUMMER''), HasIPA(1), Usage(207 )
Form(''COMING''), HasIPA(1), Usage(251 )
Form(''ENOUGH''), HasIPA(1), Usage(320 )
Form(''WORDS''), HasIPA(1), Usage(247 )
Form(''VOICE''), HasIPA(1), Usage(280 )
Form(''BOOKS''), HasIPA(1), Usage(203 )
Form(''GOD''), HasIPA(1), Usage(216 )
Form(''BEGAN''), HasIPA(1), Usage(414 )
Form(''DONE''), HasIPA(1), Usage(295 )
Form(''LAUGHED''), HasIPA(1), Usage(207 )
Form(''LOOKED''), HasIPA(1), Usage(390 )
Form(''GONE''), HasIPA(1), Usage(315 )
Form(''LAY''), HasIPA(1), Usage(333 )
Form(''OFFICE''), HasIPA(1), Usage(204 )
Form(''HELD''), HasIPA(1), Usage(213 )
Form(''FATHER''), HasIPA(1), Usage(340 )
Form(''TALK''), HasIPA(1), Usage(273 )
Form(''STREET''), HasIPA(1), Usage(243 )
Form(''JUNGLE''), HasIPA(1), Usage(283 )
Form(''HEART''), HasIPA(1), Usage(265 )
Form(''WORD''), HasIPA(1), Usage(205 )
Form(''CHILD''), HasIPA(1), Usage(207 )
Form(''MONEY''), HasIPA(1), Usage(298 )
Form(''GEORGE''), HasIPA(1), Usage(211 )
Form(''SCHOOL''), HasIPA(1), Usage(244 )
Form(''MRS''), HasIPA(1), Usage(494 )
Form(''PHILIP''), HasIPA(1), Usage(333 )
Form(''TOWARD''), HasIPA(1), Usage(374 )
Form(''THOU''), HasIPA(1), Usage(433 )
Form(''WINESBURG''), HasIPA(0), Usage(228 )
Form(''WESLEY''), HasIPA(1), Usage(358 )
Form(''I'LL''), HasIPA(0), Usage(214 )
Form(''THY''), HasIPA(1), Usage(276 )
Form(''POND''), HasIPA(1), Usage(227 )
Form(''APE''), HasIPA(1), Usage(252 )
Form(''MERIEM''), HasIPA(0), Usage(463 )
